# Event Log Opened on 2019-03-26T14:26:46.539206
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0234 58568.602149221930 52025 692774.728   2.888169   1.002899
0235 58568.602149537110 52025 720006.274   2.428145   1.000219
0236 58568.602149763297 52025 739548.891   2.416904   1.001899
0237 58568.602150005347 52025 760461.949   2.416535   1.002197
0238 58568.602150245046 52025 781171.955   2.399909   0.997232
0239 58568.602150515413 52025 804531.691   2.608961   1.001186
0240 58568.602150763596 52025 825974.694   2.523258   1.003845
0241 58568.602151054503 52025 851109.088   2.582638   0.997029
0242 58568.602151277664 52025 870390.190   2.329950   0.997198
0243 58568.602151547173 52025 893675.745   2.383684   1.003621
0244 58568.602151784537 52025 914183.958   2.435460   0.996727
0245 58568.602152003470 52025 933099.817   2.382867   1.000605
0246 58568.602152301261 52025 958828.907   2.504535   0.998109
0247 58568.602152529580 52025 978555.717   2.353147   1.001992
0248 58568.602152796295 52026   1599.873   2.284109   1.001836
0249 58568.602153040105 52026  22665.063   2.383203   1.002221
0250 58568.602153266496 52026  42225.282   2.300636   0.997243
0251 58568.602153509048 52026  63181.716   2.216434   0.996502
0252 58568.602153776519 52026  86291.252   2.233111   1.000809
0253 58568.602154049455 52026 109872.898   2.721092   0.999793
0254 58568.602154284679 52026 130196.289   2.289632   0.997935
0255 58568.602154547618 52026 152914.180   2.207856   0.998615
0256 58568.602154745939 52026 170049.096   2.196766   0.996557
0257 58568.602154955996 52026 188198.011   2.897612   1.002948
0258 58568.602155221692 52026 211154.158   2.113094   0.996798
0259 58568.602155458473 52026 231612.079   2.317799   1.003940
0260 58568.602155739638 52026 255904.720   2.315539   0.998045
0261 58568.602156010369 52026 279295.888   2.187228   0.999362
0262 58568.602156340741 52026 307840.040   2.206147   0.999705
0263 58568.602156573012 52026 327908.202   2.268478   1.002344
0264 58568.602156893023 52026 355557.167   2.229424   0.999413
0265 58568.602157118148 52026 375008.002   2.718308   1.000841
0266 58568.602157368310 52026 396621.997   2.183696   0.995942
0267 58568.602157580033 52026 414914.872   2.107319   0.999639
0268 58568.602157811387 52026 434903.825   2.472693   1.005516
0269 58568.602158068388 52026 457108.743   2.156329   0.998819
0270 58568.602158324225 52026 479213.079   2.073197   1.004983
